DateTime,Address
2/16/2011,Polk Ave & West End Blvd
2/17/2011,4000 Franklin Ave
2/17/2011,600 Canal St
2/17/2011,6800 West End Boulevard
2/18/2011,Canal St & Chartres St
2/18/2011,Camp St & Napoleon Ave
2/18/2011,I-10 W & Metairie Rd
2/18/2011,City Park Ave & I-10 E
2/18/2011,Marigny St & N Robertson St
2/19/2011,800 Tchoupitoulas St
2/19/2011,1000 Bienville St
2/20/2011,I-10 W & West End Blvd Exit
2/20/2011,Press St & St Claude Ave
2/21/2011,N Derbigny St & St Bernard Ave
2/21/2011,1700 St Charles Ave
2/22/2011,X Drexel Drive
2/23/2011,Filmore Ave & St Bernard Ave
2/23/2011,Fern St & Maple St
2/23/2011,I-10 E & Metairie Rd Exit
2/24/2011,Henderson St & Tchoupitoulas St
2/24/2011,200 Royal St
2/24/2011,Gen De Gaulle Dr & Westbank Expw
2/24/2011,Amelia St & Tchoupitoulas St
2/24/2011,I-10 E & Metairie Rd
2/25/2011,S Carrollton Ave & S Claiborne A
2/25/2011,S Claiborne Ave & Short St
2/25/2011,300 South White St
2/25/2011,Conery St & St Charles Ave
2/25/2011,N Galvez St & Piety St
2/25/2011,Philip St & Prytania St
2/26/2011,800 Conti St
2/26/2011,100 North Rampart St
2/26/2011,7900 Maple St
2/26/2011,Apricot St & S Carrollton Ave
2/26/2011,11000 Chef Menteur Hwy
2/26/2011,Carondelet St & Louisiana Ave
2/27/2011,Earhart Blvd & S Jeff Davis Pkwy
2/27/2011,Constance St & Thalia St
2/28/2011,2200 Lakeshore Drive
3/1/2011,Crowder Blvd & I-10 E
3/2/2011,Baronne St & Canal St
3/2/2011,N Derbigny St & Lapeyrouse St
3/2/2011,Bienville St & N Claiborne Ave
3/2/2011,S Carrollton Ave & Willow St
3/2/2011,100 North Rocheblave St
3/2/2011,N Rampart St & St Peter St
3/3/2011,9200 Airline Hwy
3/4/2011,2800 Dryades St
3/4/2011,I-10 E & Pontchartrain Blvd
3/4/2011,3900 Tulane Ave
3/4/2011,Bourbon St & Canal St
3/5/2011,Elysian Fields Ave & Gentilly Bl
3/5/2011,3500 Napoleon Ave
3/5/2011,Pauline St & N Rampart St
3/5/2011,5100 Timber Haven Lane
3/6/2011,Octavia St & Tchoupitoulas St
3/6/2011,Broadway St & Freret St
3/6/2011,N Claiborne Ave & Elysian Fields
3/7/2011,S Claiborne Exit & Us90B W
3/7/2011,Julia St & Tchoupitoulas St
3/8/2011,I-10 E & Metairie Rd
3/8/2011,I-10 E & I-610 E
3/8/2011,N Rampart St & St Philip St
3/9/2011,Bullard & I-10 E
3/9/2011,Simon Bolivar Ave & St Andrew St
3/10/2011,N Broad St & Treasure St
3/10/2011,Esplanade Ave & N Rampart St
3/10/2011,France Rd & Old Gentilly Rd
3/10/2011,Chef Menteur Hwy & Gentilly Blvd
3/11/2011,Loyola Ave & Napoleon Ave
3/12/2011,2ND ST & Tchoupitoulas ST
3/12/2011,S Prieur St & Toledano St
3/12/2011,Harrison Ave & West End Blvd
3/13/2011,Burthe St & S Carrollton Ave
3/13/2011,Gen Meyer Ave & Kabel Dr
3/13/2011,Dauphine St & Press St
3/14/2011,Frenchmen St & Gentilly Blvd
3/14/2011,6700 Chef Menteur Hwy
3/14/2011,Gen De Gaulle Dr & Holiday Dr
3/14/2011,Gentilly Blvd & New Orleans St
3/16/2011,1300 Simon Bolivar Ave
3/16/2011,I-10 E & I-510 N
3/16/2011,Magellan St & Nunez St
3/16/2011,Gen De Gaulle Dr & Holiday Dr
3/16/2011,7000 Bundy Road
3/17/2011,3100 Calhoun St
3/17/2011,Canal Blvd & City Park Ave
3/18/2011,Camp St & Felicity St
3/18/2011,S Claiborne Ave & Napoleon Ave
3/18/2011,St James St & Tchoupitoulas St
3/18/2011,100 South Claiborne Ave
3/18/2011,Conti St & N Rampart St
3/18/2011,Lemans St & Michoud Blvd
3/19/2011,I-10 W & West End Blvd Exit
3/19/2011,Soraparu St & Tchoupitoulas St
3/19/2011,Canal St & N Jeff Davis Pkwy
3/20/2011,Broadway St & S Claiborne Ave
3/20/2011,5000 Canal St
3/20/2011,N Broad St & Orleans Ave
3/22/2011,Bullard & I-10 E
3/23/2011,I-10 W & Jeff Davis Overpass
3/23/2011,Howard Ave & O'Keefe Ave
3/23/2011,Decatur St & St Louis St
3/24/2011,I-10 W & S Jeff Davis Overpass
3/24/2011,St Charles Ave & Washington Ave
3/24/2011,Gen De Gaulle Dr & Westbank Expw
3/24/2011,20000 Chef Menteur Hwy
3/24/2011,Hwy 11 Bridge
3/25/2011,I-10 E & Metairie Rd
3/26/2011,700 North Broad St
3/26/2011,4500 Downman Road
3/27/2011,Poydras St & Tchoupitoulas St
3/27/2011,S Jeff Davis Pkwy & Tulane Ave
3/27/2011,Fontainebleau Dr & Nashville Ave
3/28/2011,N Miro St & Orleans Ave
3/28/2011,Almonaster Ave & France Rd
3/30/2011,X Ccc In 
3/31/2011,Magazine St & Race St
3/31/2011,Dumaine St & N Rampart St
3/31/2011,Josephine St & Prytania St
3/31/2011,Prytania St & Valmont St
3/31/2011,N Claiborne Ave & Esplanade Ave
4/1/2011,1800 Religious St
4/1/2011,2600 Gentilly Boulevard
4/1/2011,Andrew Higgins Blvd & Tchoupitoulas
4/1/2011,1000 Canal St
4/2/2011,Andrew Higgins Blvd & Magazine S
4/2/2011,Andrew Higgins Blvd & Magazine S
4/2/2011,Andrew Higgins Blvd & Magazine S
4/2/2011,Andrew Higgins Blvd & Magazine S
4/2/2011,Andrew Higgins Blvd & Magazine S
4/2/2011,Birch St & Dante St
4/2/2011,Pine St & St Charles Ave
4/2/2011,N Broad St & Esplanade Ave
4/3/2011,Julia St & Magazine St
4/4/2011,2800 Mlk Boulevard
4/6/2011,Bienville St & N Jeff Davis Pkwy
4/7/2011,Andrew Higgins Blvd & Tchoupitoulas
4/7/2011,1900 Tchoupitoulas St
4/8/2011,Camp St & Canal St
4/8/2011,Foucher St & Tchoupitoulas St
4/9/2011,Dryades St & Upperline St
4/9/2011,City Park Ave & Conti St
4/9/2011,St Claude Ave & Tupelo St
4/9/2011,Filmore Ave & Wisner Blvd
4/9/2011,S Claiborne Ave & Mlk Blvd
4/10/2011,I-10 W & West End Blvd Exit
4/10/2011,Josephine St & Tchoupitoulas St
4/11/2011,I-10 E & Morrison Exit
4/11/2011,Camp St & Us90B E
4/11/2011,Dumaine St & N Rampart St
4/12/2011,1200 North Broad St
4/12/2011,Chef Menteur Exit & I-510 S
4/13/2011,Florida Ave & I-10 W
4/13/2011,Felicity St & Tchoupitoulas St
4/13/2011,Jefferson Ave & Magazine St
4/14/2011,Metairie Rd & Pontchartrain Blvd
4/14/2011,I-10 W & Jeff Davis Overpass
4/14/2011,S Claiborne Ave & Mlk Blvd
4/15/2011,Jefferson Ave & Tchoupitoulas St
4/15/2011,Florida Ave & I-10 W
4/15/2011,2700 Canal St
4/15/2011,Euterpe St & Religious St
4/16/2011,Veterans Hwy & West End Blvd
4/16/2011,Veterans Hwy & West End Blvd
4/16/2011,Veterans Hwy & West End Blvd
4/16/2011,Veterans Hwy & West End Blvd
4/16/2011,Veterans Hwy & West End Blvd
4/16/2011,Veterans Hwy & West End Blvd
4/16/2011,Veterans Hwy & West End Blvd
4/16/2011,Veterans Hwy & West End Blvd
4/16/2011,Veterans Hwy & West End Blvd
4/16/2011,Tulane Ave & S White St
4/16/2011,S Carrollton Ave & S Claiborne A
4/16/2011,Gen De Gaulle Dr & Holiday Dr
4/17/2011,4Th St & Camp St
4/17/2011,Joseph St & Tchoupitoulas St
4/17/2011,Canal Blvd & City Park Ave
4/17/2011,S Claiborne Ave & Napoleon Ave
4/17/2011,Port St & St Claude Ave
4/17/2011,S Claiborne Ave & Earhart Blvd
4/18/2011,800 South Peters St
4/18/2011,Chef Menteur Hwy & France Rd
4/18/2011,Gravier St & O'Keefe Ave
4/18/2011,Jackson Ave & Tchoupitoulas St
4/19/2011,N Derbigny St & Marigny St
4/20/2011,S Peters St & St Joseph St
4/20/2011,Hillary St & Maple St
4/20/2011,100 North Broad St
4/21/2011,Joseph St & St Charles Ave
4/21/2011,Magazine/Tearoom
4/21/2011,Elysian Fields Ave & N Galvez St
4/21/2011,Calliope St & St Charles Ave
4/21/2011,Napoleon Ave & Prytania St
4/21/2011,S Carrollton Ave & Earhart Blvd
4/21/2011,Chef Menteur Hwy & Downman Rd
4/22/2011,Felicity St & Tchoupitoulas St
4/22/2011,Conti St & Decatur St
4/24/2011,5700 St Charles Ave
4/24/2011,Annunciation St & Calliope St
4/24/2011,Gen Meyer Ave & Shirley Dr
4/26/2011,S Carrollton Ave & S Claiborne A
4/27/2011,Canal St & S Carrollton Ave
4/27/2011,City Park Ave & I-10 W
4/27/2011,Canal St & S Jeff Davis Pkwy
4/27/2011,Broadway St & Plum St
4/27/2011,500 Common St
4/27/2011,I-10 E & Michoud Blvd
4/27/2011,I-10 E & Orleans Ave
4/27/2011,S Claiborne Ave & Gen Taylor St
4/28/2011,300 Conti St
4/28/2011,Magazine St & Napoleon Ave
4/29/2011,N Claiborne Ave & Pauger St
4/29/2011,Edenboro Rd & Lake Forest Blvd
4/30/2011,S Carrollton Ave & S Claiborne A
4/30/2011,Airline Hwy & Mistletoe St
4/30/2011,Jefferson Ave & Tchoupitoulas St
4/30/2011,Elysian Fields Ave & St Claude A
4/30/2011,St Claude Bridge Eas
4/30/2011,Jefferson Ave & Tchoupitoulas St
5/1/2011,S Peters St & St Joseph St
5/1/2011,Elysian Fields Ave & Gentilly Bl
5/1/2011,6500 West End Boulevard
5/2/2011,I-10 W & West End Blvd Exit
5/2/2011,Elysian Fields Ave & Madrid St
5/2/2011,Helena St & Iberville St
5/2/2011,Convention Center Blvd & Girod S
5/3/2011,I-10 W & S Jeff Davis Overpass
5/4/2011,I-10 W & Metairie Rd
5/4/2011,Annunciation St & Terpsichore St
5/5/2011,Annunciation St & Bellecastle St
5/5/2011,Audubon St & Magazine St
5/5/2011,S Carrollton Ave & Walmsley Ave
5/5/2011,La Salle St & Louisiana Ave
5/6/2011,I-10 W & Metairie Rd
5/7/2011,Annunciation St & Washington Ave
5/7/2011,N Peters St & Port St
5/7/2011,1300 St Charles Ave
5/7/2011,S Claiborne Ave & State St
5/7/2011,400 Bienville St
5/8/2011,I-10 E & Us90B W
5/8/2011,2600 St Charles Ave
5/8/2011,3100 St Charles Ave
5/8/2011,I-10 W & West End Blvd Exit
5/8/2011,Harrison Ave & Vicksburg St
5/9/2011,2400 Tchoupitoulas St
5/9/2011,Canal St & I-10 W
5/10/2011,Bienville St & N Carrollton Ave
5/10/2011,Canal St & Marais St
5/11/2011,S Claiborne Ave & Jackson Ave
5/11/2011,Napoleon Ave & St Charles Ave
5/11/2011,I-10 W & Metairie Rd
5/12/2011,Octavia St & Tchoupitoulas St
5/12/2011,Gen De Gaulle Dr & Wall Blvd
5/12/2011,N Broad St & Iberville St
5/12/2011,I-10 W & West End Blvd Exit
5/12/2011,Leontine St & St Charles Ave
5/13/2011,Barracks St & N Peters St
5/13/2011,200 Tchoupitoulas St
5/13/2011,A P Tureaud Ave & N Galvez St
5/13/2011,Harrison Ave & Paris Ave
5/13/2011,Conti St & N Front St
5/14/2011,14900 Chef Menteur Hwy
5/14/2011,Octavia St & St Charles Ave
5/14/2011,Broadway St & St Charles Ave
5/15/2011,Elysian Fields Ave & St Claude A
5/15/2011,6700 West End Boulevard
5/15/2011,Andrew Higgins Blvd & Tchoupitoulas
5/15/2011,3800 Magazine St
5/15/2011,Crowder Blvd Exit & I-10 E
5/17/2011,Annunciation St & Calliope St
5/18/2011,St Charles Ave & Valmont St
5/18/2011,Canal Blvd & I-610 E
5/18/2011,Florida Blvd & Rosemary Pl
5/18/2011,700 Iberville St
5/19/2011,5800 Colbert St
5/19/2011,S Carrollton Ave & Maple St
5/19/2011,Napoleon Ave & Tchoupitoulas St
5/19/2011,5000 Canal St
5/19/2011,Louisiana Ave & St Charles Ave
5/19/2011,S Claiborne Ave & Cleveland Ave
5/19/2011,1600 Canal St
5/20/2011,Louisa St & St Claude Ave
5/20/2011,Andrew Higgins Blvd & Tchoupitoulas
5/20/2011,Julia St & Tchoupitoulas St
5/20/2011,6200 West End Boulevard
5/20/2011,Annunciation St & Lyons St
5/20/2011,S Claiborne Ave & S Miro St
5/21/2011,Chartres St & Spain St
5/21/2011,Andrew Higgins Blvd & Tchoupitoulas
5/21/2011,Annunciation St & Poeyfarre St
5/21/2011,Calliope St & Carondelet St
5/22/2011,Calliope St & Carondelet St
5/22/2011,Calliope St & Carondelet St
5/22/2011,Calliope St & Carondelet St
5/22/2011,Calliope St & Carondelet St
5/22/2011,Calliope St & Carondelet St
5/22/2011,Calliope St & Carondelet St
5/22/2011,Calliope St & Carondelet St
5/22/2011,I-10 W & Metairie Rd
5/22/2011,Hillary St & St Charles Ave
5/23/2011,1800 Elysian Fields Ave
5/23/2011,Bouny St & Evelina St
5/24/2011,Behrman Ave & Gen De Gaulle Dr
5/24/2011,S Carrollton Ave & Edinburgh St
5/25/2011,Bullard & I-10 E
5/25/2011,Jena St & Willow St
5/25/2011,Jefferson Ave & Tchoupitoulas St
5/26/2011,City Park Ave & I-10 W
5/26/2011,Jefferson Ave & Tchoupitoulas St
5/26/2011,Freret St & State St
5/27/2011,Chef Menteur Hwy & I-10 W
5/27/2011,Baronne St & Calliope St
5/28/2011,1500 Religious St
5/28/2011,Chartres St & St Ferdinand St
5/28/2011,Chartres St & St Ferdinand St
5/28/2011,Jefferson Ave & Tchoupitoulas St
5/28/2011,Convention Center Blvd & St Jose
5/28/2011,4000 Tchoupitoulas St
5/28/2011,Delachaise St & St Charles Ave
5/28/2011,S Liberty St & Louisiana Ave
5/29/2011,Gov Nicholls St & N Peters St
5/29/2011,Jefferson Ave & Tchoupitoulas St
5/31/2011,S Claiborne Ave & Cleveland Ave
5/31/2011,100 South Rampart St
5/31/2011,Tchoupitoulas Exit & Us90B E
6/1/2011,Calliope St & St Charles Ave
6/2/2011,Freret St & Joseph St
6/2/2011,Filmore Ave & Marconi Dr
6/2/2011,Religious St & Richard St
6/3/2011,Andrew Higgins Blvd & Tchoupitoulas
6/3/2011,I-10 E & Metairie Rd Exit
6/3/2011,2600 Gen De Gaulle Drive
6/3/2011,Andrew Higgins Blvd & Tchoupitoulas
6/3/2011,Andrew Higgins Blvd & Tchoupitoulas
6/4/2011,Andrew Higgins Blvd & Tchoupitoulas
6/4/2011,Andrew Higgins Blvd & Annunciati
6/4/2011,Andrew Higgins Blvd & Tchoupitoulas
6/4/2011,Andrew Higgins Blvd & Tchoupitoulas
6/4/2011,Burgundy St & Conti St
6/4/2011,Chef Menteur Exit & I-10 E
6/4/2011,Bordeaux St & Chestnut St
6/5/2011,Louisiana Ave & St Charles Ave
6/5/2011,5900 West End Boulevard
6/5/2011,Florida Blvd & Rosemary Pl
6/5/2011,S Galvez St & Tulane Ave
6/5/2011,Freret St & Gen Taylor St
6/5/2011,3800 St Charles Ave
6/6/2011,Calliope St & S Peters St
6/7/2011,5900 West End Boulevard
6/8/2011,Ridgeway Blvd & Ridgeway Blvd Ex
6/8/2011,Nashville Ave & S Rocheblave St
6/8/2011,Julia St & S Peters St
6/8/2011,Calliope St & St Charles Ave
6/9/2011,1800 Gentilly Boulevard
6/10/2011,Foch Rd & Morrison Rd
6/10/2011,Carondelet St & Common St
6/11/2011,5900 West End Boulevard
6/11/2011,5300 Magazine St
6/12/2011,5900 West End Boulevard
6/12/2011,3400 Magnolia St
6/14/2011,Elysian Fields Overpass & Florid
6/14/2011,S I-10 Service Rd & Read Blvd
6/15/2011,Joseph St & Tchoupitoulas St
6/15/2011,Louisiana Ave & Tchoupitoulas St
6/15/2011,N Carrollton Ave & Moss St
6/15/2011,1200 Basin St
6/16/2011,Carondelet St & Louisiana Ave
6/16/2011,I-10 W & Jeff Davis Overpass
6/16/2011,Constance St & Napoleon Ave
6/16/2011,I-10 W & West End Blvd Exit
6/16/2011,Freret St & Jefferson Ave
6/16/2011,100 South Bernadotte St
6/16/2011,S Carrollton Ave & Palmyra St
6/17/2011,Esplanade Ave & Grand Route St J
6/17/2011,Julia St & Tchoupitoulas St
6/17/2011,I-10 W & Orleans Ave
6/17/2011,I-10 W & Metairie Rd
6/17/2011,N Derbigny St & Orleans Ave
6/18/2011,Canal St & S Claiborne Ave
6/18/2011,5100 Pontchartrain Boulevard
6/18/2011,St James St & Tchoupitoulas St
6/18/2011,Annunciation St & John Churchill
6/18/2011,Chartres St & Port St
6/19/2011,Veterans Hwy & West End Blvd
6/19/2011,Veterans Hwy & West End Blvd
6/19/2011,Veterans Hwy & West End Blvd
6/19/2011,Veterans Hwy & West End Blvd
6/19/2011,Veterans Hwy & West End Blvd
6/19/2011,Veterans Hwy & West End Blvd
6/19/2011,Veterans Hwy & West End Blvd
6/19/2011,2200 South Claiborne Ave
6/19/2011,3000 Orleans Ave
6/19/2011,Canal Blvd & Harrison Ave
6/20/2011,Esplanade Ave & St Claude Ave
6/20/2011,Franklin Ave & Gentilly Blvd
6/21/2011,S Claiborne Ave & Gen Pershing S
6/22/2011,Magazine St & Washington Ave
6/22/2011,Pontchartrain Blvd & Veterans Hw
6/22/2011,Canal Blvd & City Park Ave
6/23/2011,Annunciation St & Leontine St
6/23/2011,Canal St & City Park Ave
6/23/2011,Leake Ave & Maple St
6/23/2011,Adams St & Maple St
6/23/2011,Frenchmen St & St Claude Ave
6/24/2011,Crowder Blvd & Hayne Blvd
6/24/2011,Decatur St & St Ferdinand St
6/24/2011,S Carrollton Ave & Olive St
6/25/2011,Franklin Ave & I-610 E
6/25/2011,Caton Ct & Paris Ave
6/26/2011,Gentilly Blvd & Lafaye St
6/26/2011,Banks St & S Telemachus St
6/26/2011,I-10 E & Louisa St
6/26/2011,Jefferson Ave & Tchoupitoulas St
6/26/2011,Pontchartrain Blvd & Veterans Hw
6/26/2011,Gentilly Blvd & Paris Ave
6/26/2011,S Carrollton Ave & Ulloa St
6/26/2011,1600 Music St
6/27/2011,1000 Annunciation St
6/27/2011,Elysian Fields Ave & St Claude A
6/27/2011,4200 Chef Menteur Hwy
6/28/2011,I-10 W & Jeff Davis Overpass
6/28/2011,700 Howard Ave
6/28/2011,Canal Blvd & Harrison Ave
6/29/2011,Canal St & City Park Ave
6/29/2011,Soniat St & St Charles Ave
6/29/2011,I-10 W & West End Blvd Exit
6/29/2011,500 Wiltz Lane
6/30/2011,Gen De Gaulle Dr & Sandra Dr
6/30/2011,N Claiborne Ave & Lafitte St
6/30/2011,S Claiborne Ave & Napoleon Ave
7/1/2011,Canal St & N Clark St
7/1/2011,Bragg St & West End Blvd
7/1/2011,Airline Hwy & I-10 W
7/1/2011,Broad St Exit & I-610 W
7/2/2011,S Claiborne Ave & Cleveland Ave
7/2/2011,Almonaster Ave & Louisa St
7/2/2011,Jackson Ave & St Thomas St
7/2/2011,Lafayette St & Magazine St
7/2/2011,Decatur St & Toulouse St
7/2/2011,Canal St & Magazine St
7/2/2011,Canal St & S Rampart St
7/3/2011,N Rampart St & St Louis St
7/3/2011,I-10 E & Us90B E
7/3/2011,6500 River Drive
7/4/2011,Banks St & S Pierce St
7/4/2011,13000 Chef Menteur Hwy
7/4/2011,Carondelet St & Louisiana Ave
7/4/2011,I-10 W & Orleans Ave
7/5/2011,Oretha Castle Haley Blvd & St An
7/5/2011,5300 Canal Boulevard
7/5/2011,S Broad St & Toledano St
7/6/2011,Burgundy St & Louisa St
7/6/2011,Conti St & N Jeff Davis Pkwy
7/7/2011,Jefferson Ave & Tchoupitoulas St
7/8/2011,Canal St & S Galvez St
7/8/2011,S Carrollton Ave & Spruce St
7/8/2011,Annunciation St & Calliope St
7/9/2011,Jefferson Ave & Tchoupitoulas St
7/9/2011,Napoleon Ave & Prytania St
7/9/2011,N Broad St & D'Abadie St
7/9/2011,Barracks St & N Broad St
7/10/2011,S Carrollton Ave & Tulane Ave
7/10/2011,Basin Exit & N Robertson St
7/10/2011,Basin St & St Peter St
7/10/2011,4200 Paris Ave
7/10/2011,Alvar St & Higgins Blvd
7/11/2011,I-10E & Irish Bayou
7/11/2011,Canal Blvd & Harrison Ave
7/12/2011,Canal St & S Claiborne Ave
7/12/2011,S Gayoso St & Washington Ave
7/13/2011,1900 St Charles Ave
7/13/2011,5300 Prytania St
