NOPD_Item,Type_,TypeText,MapX,MapY,TimeCreate,TimeDispatch,TimeClosed,Disposition,DispositionText,BLOCK_ADDRESS,Zip
B1053014,98,DRIVING WHILE UNDER INFLUENCE,3664890,523123,2/9/2014 02:02:44,,2/9/2014 02:54:02,NAT,Necessary Action Taken,Saint Charles Ave & Calhoun St (2E03),70118
E3742014,98,DRIVING WHILE UNDER INFLUENCE,3698746,551797,5/28/2014 01:41:51,,5/28/2014 02:47:44,NAT,Necessary Action Taken,I-10 E (7C02) & Chef Menteur Hwy,70126
H0958514,98,DRIVING WHILE UNDER INFLUENCE,3670046,528167,8/8/2014 01:06:22,8/8/2014 01:06:22,8/8/2014 02:35:17,NAT,Necessary Action Taken,037XX Napoleon Ave,70125
E3738214,98,DRIVING WHILE UNDER INFLUENCE,3721960,570050,5/28/2014 00:49:20,,5/28/2014 01:58:01,NAT,Necessary Action Taken,I-10 E & Little Woods Exit,70129
H0967114,98,DRIVING WHILE UNDER INFLUENCE,3677049,520824,8/8/2014 02:51:13,8/8/2014 02:51:13,8/8/2014 03:41:55,NAT,Necessary Action Taken,Magazine St & Washington Ave,70130
H0967314,98,DRIVING WHILE UNDER INFLUENCE,3664008,545977,8/8/2014 02:52:31,8/8/2014 02:52:31,8/8/2014 02:54:40,RTF,REPORT TO FOLLOW,I-610 E (3B02) & I-10 E,70124
H0968214,98,DRIVING WHILE UNDER INFLUENCE,3670812,520820,8/8/2014 03:14:57,8/8/2014 03:14:57,8/8/2014 05:27:48,NAT,Necessary Action Taken,St Charles Ave & Napoleon Ave (2F04),70115
H0970714,98,DRIVING WHILE UNDER INFLUENCE,3671115,533996,8/8/2014 04:01:53,8/8/2014 04:01:53,8/8/2014 05:26:08,NAT,Necessary Action Taken,I-10 W (1K02) & Jeff Davis Overpass,70119
H0970814,98,DRIVING WHILE UNDER INFLUENCE,3663873,527116,8/8/2014 04:02:43,,8/8/2014 05:58:13,NAT,Necessary Action Taken,Plum St & Lowerline St,70118
H0976714,98,DRIVING WHILE UNDER INFLUENCE,3673401,517651,8/8/2014 06:12:37,,8/8/2014 07:02:02,NAT,Necessary Action Taken,039XX Tchoupitoulas St,70115
J2720814,98,DRIVING WHILE UNDER INFLUENCE,3678485,532787,10/22/2014 03:35:07,10/22/2014 03:35:07,10/22/2014 05:21:28,NAT,Necessary Action Taken,Canal St (1E02) & S Claiborne Ave,70112
H1104314,98,DRIVING WHILE UNDER INFLUENCE,3669069,521068,8/9/2014 02:59:46,8/9/2014 02:59:46,8/9/2014 05:04:19,NAT,Necessary Action Taken,Carondelet St & Upperline St,70115
H1109614,98,DRIVING WHILE UNDER INFLUENCE,3679533,526937,8/9/2014 04:14:24,,8/9/2014 04:19:33,RTF,REPORT TO FOLLOW,Pontchartrain Expy E & O'Keefe Ave Exit,70113
B3571314,98,DRIVING WHILE UNDER INFLUENCE,3676643,521444,2/28/2014 03:38:21,2/28/2014 03:38:21,2/28/2014 04:29:06,NAT,Necessary Action Taken,Washington Ave & Chestnut St,70115
B3574514,98,DRIVING WHILE UNDER INFLUENCE,3716799,555945,2/28/2014 04:36:57,,2/28/2014 05:31:15,NAT,Necessary Action Taken,Chef Menteur Hwy & Wright Rd,
